userid,newsId,rating,timestamp
1,1,1,964982703
1,2,2,964981247
1,3,3,964982224
1,4,4,964983815
1,5,5,964982931
1,6,1,964982400
1,7,2,964980868
1,8,3,964982176
1,9,4,964984041
1,10,5,964984100
1,11,1,964983650
1,12,2,964981208
1,13,3,964980985
1,14,4,964981179
1,15,5,964980908
1,16,2,964982703
1,17,3,964981247
1,18,4,964982224
1,19,3,964983815
2,1,3,964982931
2,2,3,964982400
2,3,2,964980868
2,4,2,964982176
2,5,1,964984041
2,6,2,964984100
2,7,3,964983650
2,8,4,964981208
2,9,5,964980985
2,10,3,964981179
2,11,2,964980908
2,12,1,964982703
2,13,2,964981247
2,14,3,964982224
2,15,4,964983815
2,16,5,964982931
2,17,3,964982400
2,18,3,964980868
2,19,2,964982176
2,20,1,964984041
3,1,3,964984100
3,2,3,964983650
3,3,4,964981208
3,4,3,964980985
3,5,1,964981179
3,6,2,964980908
3,7,4,964982703
3,8,5,964981247
3,9,4,964982224
3,10,3,964983815
3,11,2,964982931
3,12,2,964982400
3,13,1,964980868
3,14,2,964982176
3,15,3,964984041
3,16,4,964984100
3,17,3,964983650
3,18,2,964981208
3,19,1,964980985
3,20,2,964981179
4,1,3,964980908
4,2,3,964982703
4,3,4,964981247
4,4,3,964982224
4,5,2,964983815
4,6,1,964982931
4,7,1,964982400
4,8,2,964980868
4,9,3,964982176
4,10,4,964984041
4,11,4,964984100
4,12,3,964983650
4,13,2,964981208
4,14,2,964980985
4,15,1,964981179
4,16,1,964980908
4,17,2,964982703
4,18,3,964981247
4,19,4,964982224
4,20,4,964983815
5,1,3,964982931
5,2,3,964982400
5,3,2,964980868
5,4,1,964982176
5,5,1,964984041
5,6,2,964984100
5,7,3,964983650
5,8,1,964981208
5,9,2,964980985
5,10,3,964981179
5,11,4,964980908
5,12,3,964982703
5,13,3,964981247
5,14,2,964982224
5,15,1,964983815
5,16,2,964982931
5,17,3,964982400
5,18,4,964980868
5,19,3,964982176
5,20,1,964984041
6,1,1,964984100
6,2,2,964983650
6,3,3,964981208
6,4,4,964980985
6,5,5,964981179
6,6,4,964980908
6,7,3,964982703
6,8,2,964981247
6,9,1,964982224
6,10,2,964983815
6,11,3,964982931
6,12,4,964982400
6,13,5,964980868
6,14,4,964982176
6,15,3,964984041
6,16,2,964984100
6,17,2,964983650
6,18,1,964981208
6,19,2,964980985
6,20,3,964981179
7,1,4,964980908
7,2,4,964982703
7,3,3,964981247
7,4,2,964982224
7,5,2,964983815
7,6,1,964982931
7,7,2,964982400
7,8,3,964980868
7,9,4,964982176
7,10,3,964984041
7,11,2,964984100
7,12,3,964983650
7,13,2,964981208
7,14,3,964980985
7,15,4,964981179
7,16,2,964980908
7,17,2,964982703
7,18,1,964981247
7,19,2,964982224
7,20,3,964983815
8,1,4,964982931
8,2,5,964982400
8,3,3,964980868
8,4,3,964982176
8,5,2,964984041
8,6,1,964984100
8,7,2,964983650
8,8,3,964981208
8,9,3,964980985
8,10,3,964981179
8,11,3,964980908
8,12,3,964982703
8,13,3,964981247
8,14,32,964982224
8,15,2,964983815
8,16,1,964982931
8,17,3,964982400
8,18,4,964980868
8,19,5,964982176
8,20,5,964984041
9,1,5,964984100
9,2,5,964983650
9,3,4,964981208
9,4,2,964980985
9,5,3,964981179
9,6,4,964980908
9,7,4,964982703
9,8,2,964981247
9,9,3,964982224
9,10,4,964983815
9,11,2,964982931
9,12,3,964982400
9,13,4,964980868
9,14,5,964982176
9,15,4,964984041
9,16,3,964984100
9,17,3,964983650
9,18,2,964981208
9,19,1,964980985
9,20,2,964981179
10,1,3,964980908
10,2,4,964982703
10,3,4,964981247
10,4,5,964982224
10,5,4,964983815
10,6,3,964982931
10,7,3,964982400
10,8,2,964980868
10,9,3,964982176
10,10,4,964984041
10,11,5,964984100
10,12,4,964983650
10,13,3,964981208
10,14,4,964980985
10,15,5,964981179
10,16,4,964980908
10,17,3,964982703
10,18,4,964981247
10,19,5,964982224
10,20,4,964983815